query_id|query_text|category|project|difficulty|freshness_sensitive|authority_sensitive|exact_identifier_dependency|evidence_required|source_generation_method|grounding_document_id|grounding_excerpt_checksum|review_status
candidate-00266c33d13a|How should an engineer use the API or interface for Pod and container logs in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-cluster-administration-logging-md|09e50d4e12cb26a9be5c3a9b1675e88c9e09010ae7226d6eee00d4d216a33d22|NEEDS_HUMAN_REVIEW
candidate-01092a2e464c|How should an engineer use the API or interface for Writing a ReplicationController Manifest in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-controllers-replicationcontroller-md|b0973dce471eba8c4638d3e2e7ca31453f8cebe91815a7eb1221e2b7fb6264b7|NEEDS_HUMAN_REVIEW
candidate-01595e14cb59|How should an engineer use the API or interface for Spread constraint definition in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-topology-spread-constraints-md|1984cdcb9838f08ccaae870bf4d2ed448ca293cb0d99dadd29a6c8e8b10ec89c|NEEDS_HUMAN_REVIEW
candidate-02146cc991ca|How should an engineer use the API or interface for Feature state demo in Kubernetes?|API usage|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-contribute-style-hugo-shortcodes-index-md|9afe80b22a782d41fac5839602494596b92f121e18584cb0c1eb21f72905b95a|NEEDS_HUMAN_REVIEW
candidate-0353d5b38e7d|How should an engineer use the API or interface for Enabling bin packing using RequestedToCapacityRatio in Kubernetes?|API usage|Kubernetes|intermediate|True|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-scheduling-eviction-resource-bin-packing-md|6305953bb4624eb1477b80fc0cb8afac67ded94a63836785f3116a9341bb5a06|NEEDS_HUMAN_REVIEW
candidate-0383671691c3|How should an engineer use the API or interface for Enable the status subresource for NetworkPolicy objects in Kubernetes?|API usage|Kubernetes|intermediate|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-networkpolicystatus-md|67e47e991e3b3c1238d1df72030192f70e62b00366966717fed02f2aa485a753|NEEDS_HUMAN_REVIEW
candidate-03a4e2aa948f|How should an engineer use the API or interface for Compatibility and limitations in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-windows-intro-md|2b677b79dba794d093c561222dd5719e9796e574d591f5051c692bb8b95c2baa|NEEDS_HUMAN_REVIEW
candidate-03dd98095374|How should an engineer use the API or interface for Using Pods in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-workloads-pods-index-md|8296f013d7059ca7fba06bd510ead9bb1d3882338880b07eb3d128719eb785f2|NEEDS_HUMAN_REVIEW
candidate-041f332abd1c|How should an engineer use the API or interface for Develop lifecycle phase in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-security-cloud-native-security-md|e4ed68e43562f85ab6134b46b264fce3497458946215c6ada0de37cabaf78cf4|NEEDS_HUMAN_REVIEW
candidate-04eaad63d316|How should an engineer use the API or interface for Owner references, labels, and finalizers in Kubernetes?|API usage|Kubernetes|intermediate|False|False|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-overview-working-with-objects-finalizers-md|5c436db31f32c0952b50f8d6b326cedc79f56583a85a7df9c5a7257a4d29a781|NEEDS_HUMAN_REVIEW
candidate-06274c1d2b3d|How should an engineer use the API or interface for Defining a Service in Kubernetes?|API usage|Kubernetes|intermediate|True|True|True|True|deterministic corpus-heading paraphrase; human review required|kubernetes-docs-content-en-docs-concepts-services-networking-service-md|dc65ab0ee41b440edc61fe5930c352eae8f60a22e2caefa4ffcfe10a5211e2b7|NEEDS_HUMAN_REVIEW
