query_id,query_text,category,project,difficulty,grounding_document_id,review_status,reviewer_decision,reviewer_notes
candidate-00266c33d13a,How should an engineer use the API or interface for Pod and container logs in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-logging-md,NEEDS_HUMAN_REVIEW,,
candidate-01092a2e464c,How should an engineer use the API or interface for Writing a ReplicationController Manifest in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-controllers-replicationcontroller-md,NEEDS_HUMAN_REVIEW,,
candidate-01595e14cb59,How should an engineer use the API or interface for Spread constraint definition in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-topology-spread-constraints-md,NEEDS_HUMAN_REVIEW,,
candidate-02146cc991ca,How should an engineer use the API or interface for Feature state demo in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-contribute-style-hugo-shortcodes-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0353d5b38e7d,How should an engineer use the API or interface for Enabling bin packing using RequestedToCapacityRatio in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-resource-bin-packing-md,NEEDS_HUMAN_REVIEW,,
candidate-0383671691c3,How should an engineer use the API or interface for Enable the status subresource for NetworkPolicy objects in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-command-line-tools-reference-feature-gates-networkpolicystatus-md,NEEDS_HUMAN_REVIEW,,
candidate-03a4e2aa948f,How should an engineer use the API or interface for Compatibility and limitations in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-windows-intro-md,NEEDS_HUMAN_REVIEW,,
candidate-03dd98095374,How should an engineer use the API or interface for Using Pods in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-workloads-pods-index-md,NEEDS_HUMAN_REVIEW,,
candidate-041f332abd1c,How should an engineer use the API or interface for Develop lifecycle phase in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-security-cloud-native-security-md,NEEDS_HUMAN_REVIEW,,
candidate-04eaad63d316,"How should an engineer use the API or interface for Owner references, labels, and finalizers in Kubernetes?",API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-overview-working-with-objects-finalizers-md,NEEDS_HUMAN_REVIEW,,
candidate-06274c1d2b3d,How should an engineer use the API or interface for Defining a Service in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-services-networking-service-md,NEEDS_HUMAN_REVIEW,,
candidate-0672fce2f51f,How should an engineer use the API or interface for Lifecycle of a volume snapshot and volume snapshot content in Kubernetes?,API usage,Kubernetes,advanced,kubernetes-docs-content-en-docs-concepts-storage-volume-snapshots-md,NEEDS_HUMAN_REVIEW,,
candidate-0711defb2693,How should an engineer use the API or interface for Custom resources are extensions of the Kubernetes API in Kubernetes?,API usage,Kubernetes,advanced,kubernetes-docs-content-en-docs-concepts-extend-kubernetes-api-extension-index-md,NEEDS_HUMAN_REVIEW,,
candidate-0793e62883d1,How should an engineer use the API or interface for API Reference in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-reference-index-md,NEEDS_HUMAN_REVIEW,,
candidate-07a030c200d8,How should an engineer use the API or interface for Pod scheduling constraints in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-cluster-administration-node-autoscaling-md,NEEDS_HUMAN_REVIEW,,
candidate-08e2ae02d4ca,How should an engineer use the API or interface for Kubernetes provides several built-in APIs for declarative management of your and the components of t in Kubernetes?,API usage,Kubernetes,advanced,kubernetes-docs-content-en-docs-concepts-workloads-controllers-index-md,NEEDS_HUMAN_REVIEW,,
candidate-097e7cd9df8e,How should an engineer use the API or interface for How to use priority and preemption in Kubernetes?,API usage,Kubernetes,intermediate,kubernetes-docs-content-en-docs-concepts-scheduling-eviction-pod-priority-preemption-md,NEEDS_HUMAN_REVIEW,,
